iter	Passed	Remaining
842	2188	407
843	2190	404
844	2193	402
845	2195	399
846	2198	397
847	2201	394
848	2205	392
849	2208	389
850	2210	387
851	2213	384
852	2215	381
853	2218	379
854	2220	376
855	2222	373
856	2224	371
857	2226	368
858	2229	365
859	2231	363
860	2233	360
861	2235	357
862	2237	355
863	2239	352
864	2242	349
865	2244	347
866	2247	344
867	2249	342
868	2251	339
869	2254	336
870	2257	334
871	2259	331
872	2261	329
873	2264	326
874	2267	323
875	2269	321
876	2272	318
877	2274	316
878	2276	313
879	2278	310
880	2280	308
881	2282	305
882	2284	302
883	2286	300
884	2288	297
885	2290	294
886	2293	292
887	2296	289
888	2298	287
889	2300	284
890	2303	281
891	2305	279
892	2307	276
893	2310	273
894	2312	271
895	2314	268
896	2316	266
897	2318	263
898	2320	260
899	2322	258
900	2325	255
901	2327	252
902	2329	250
903	2331	247
904	2333	244
905	2335	242
906	2337	239
907	2339	237
908	2341	234
909	2343	231
910	2345	229
911	2347	226
912	2350	223
913	2352	221
914	2354	218
915	2356	216
916	2358	213
917	2360	210
918	2362	208
919	2364	205
920	2366	203
921	2368	200
922	2371	197
923	2373	195
924	2375	192
925	2377	189
926	2379	187
927	2382	184
928	2385	182
929	2387	179
930	2390	177
931	2392	174
932	2395	172
933	2398	169
934	2400	166
935	2402	164
936	2405	161
937	2408	159
938	2410	156
939	2413	154
940	2416	151
941	2418	148
942	2421	146
943	2424	143
944	2426	141
945	2429	138
946	2431	136
947	2434	133
948	2436	130
949	2439	128
950	2442	125
951	2445	123
952	2448	120
953	2450	118
954	2453	115
955	2455	112
956	2457	110
957	2460	107
958	2463	105
959	2465	102
960	2468	100
961	2471	97
962	2473	95
963	2475	92
964	2478	89
965	2481	87
966	2484	84
967	2486	82
968	2489	79
969	2491	77
970	2494	74
971	2498	71
972	2500	69
973	2503	66
974	2506	64
975	2509	61
976	2513	59
977	2515	56
978	2519	54
979	2522	51
980	2524	48
981	2526	46
982	2529	43
983	2532	41
984	2534	38
985	2536	36
986	2538	33
987	2540	30
988	2542	28
989	2544	25
990	2546	23
991	2548	20
992	2550	17
993	2552	15
994	2554	12
995	2556	10
996	2558	7
997	2560	5
998	2562	2
999	2564	0
