iter	Passed	Remaining
307	887	1993
308	890	1991
309	893	1988
310	895	1984
311	898	1981
312	901	1977
313	904	1975
314	906	1971
315	909	1968
316	911	1964
317	913	1960
318	916	1956
319	918	1951
320	920	1946
321	922	1942
322	924	1938
323	927	1934
324	929	1929
325	930	1924
326	932	1919
327	934	1914
328	936	1910
329	938	1905
330	940	1900
331	942	1895
332	944	1891
333	946	1887
334	948	1883
335	951	1880
336	953	1876
337	956	1872
338	958	1869
339	960	1864
340	962	1860
341	965	1857
342	967	1852
343	969	1848
344	971	1843
345	972	1838
346	974	1834
347	977	1830
348	979	1826
349	981	1823
350	983	1818
351	985	1814
352	987	1810
353	989	1806
354	992	1802
355	994	1798
356	996	1794
357	998	1791
358	1000	1787
359	1003	1783
360	1005	1779
361	1007	1776
362	1009	1772
363	1012	1769
364	1014	1765
365	1016	1761
366	1019	1758
367	1021	1754
368	1023	1750
369	1025	1746
370	1027	1741
371	1029	1737
372	1031	1733
373	1033	1729
374	1035	1725
375	1037	1721
376	1039	1717
377	1041	1713
378	1043	1709
379	1045	1705
380	1047	1701
381	1049	1697
382	1051	1693
383	1053	1689
384	1055	1686
385	1057	1681
386	1059	1677
387	1061	1674
388	1063	1670
389	1065	1666
390	1067	1662
391	1069	1658
392	1071	1654
393	1073	1651
394	1075	1647
395	1077	1643
396	1079	1640
397	1082	1637
398	1084	1633
399	1086	1630
400	1088	1626
401	1091	1623
402	1093	1619
403	1095	1615
404	1097	1611
405	1099	1607
406	1101	1604
407	1102	1600
408	1104	1596
409	1106	1592
410	1108	1588
411	1110	1585
412	1112	1581
413	1114	1578
414	1116	1574
415	1118	1570
416	1120	1566
417	1122	1562
418	1124	1559
419	1126	1555
420	1128	1552
421	1130	1548
422	1132	1544
423	1134	1540
424	1136	1537
425	1137	1533
426	1140	1530
427	1143	1527
428	1145	1524
429	1147	1521
430	1150	1518
431	1152	1515
432	1155	1512
433	1157	1509
434	1159	1506
435	1162	1503
436	1164	1500
437	1167	1498
438	1170	1495
439	1173	1494
440	1176	1491
441	1179	1488
442	1183	1487
443	1186	1485
444	1190	1484
445	1192	1481
446	1196	1480
447	1199	1477
448	1202	1475
449	1204	1471
450	1206	1468
451	1210	1467
452	1212	1464
453	1216	1462
454	1218	1460
455	1222	1457
456	1225	1455
457	1227	1452
458	1230	1449
459	1233	1447
460	1235	1444
461	1238	1442
462	1241	1439
463	1243	1436
464	1246	1433
465	1248	1430
466	1252	1429
467	1254	1426
468	1256	1422
469	1259	1419
470	1261	1416
471	1264	1414
472	1267	1411
473	1270	1409
474	1272	1406
475	1275	1404
476	1278	1401
477	1280	1398
478	1283	1395
479	1285	1392
480	1288	1389
481	1290	1386
482	1292	1383
483	1294	1379
484	1296	1376
485	1297	1372
486	1299	1369
487	1301	1365
488	1304	1362
489	1306	1359
490	1308	1356
491	1309	1352
492	1311	1349
493	1313	1345
494	1315	1342
495	1317	1339
496	1319	1335
497	1321	1331
498	1323	1328
499	1325	1325
500	1327	1321
501	1328	1318
502	1331	1315
503	1333	1312
504	1335	1308
505	1337	1305
506	1338	1301
507	1340	1298
508	1342	1295
509	1344	1291
510	1346	1288
511	1348	1285
512	1351	1282
513	1353	1279
514	1355	1276
515	1357	1272
516	1359	1269
517	1361	1266
518	1362	1263
519	1364	1259
520	1366	1256
521	1368	1252
522	1369	1249
523	1372	1246
524	1373	1243
525	1376	1240
526	1378	1236
527	1379	1233
528	1381	1230
529	1383	1226
530	1385	1223
531	1387	1220
532	1389	1217
533	1391	1213
534	1392	1210
535	1394	1207
536	1396	1204
537	1398	1200
538	1400	1197
539	1401	1194
540	1403	1190
541	1405	1187
542	1407	1184
543	1409	1181
544	1411	1178
545	1413	1175
546	1414	1171
547	1416	1168
548	1418	1165
549	1420	1162
550	1422	1159
551	1424	1155
552	1426	1152
553	1428	1149
554	1430	1146
555	1431	1143
556	1433	1140
557	1435	1137
558	1437	1134
559	1439	1130
560	1441	1127
561	1443	1124
562	1444	1121
563	1446	1118
564	1448	1115
565	1450	1111
566	1452	1108
567	1454	1105
568	1456	1103
569	1458	1100
570	1460	1097
571	1463	1094
572	1465	1092
573	1467	1089
574	1471	1087
575	1473	1084
576	1475	1081
577	1478	1079
578	1480	1076
579	1482	1073
580	1484	1070
581	1486	1067
582	1488	1064
583	1490	1062
584	1493	1059
585	1494	1056
586	1497	1053
587	1499	1050
588	1501	1047
589	1503	1044
590	1505	1041
591	1507	1038
592	1509	1036
593	1512	1033
594	1514	1031
595	1517	1028
596	1520	1026
597	1522	1023
598	1526	1021
599	1528	1019
600	1531	1016
601	1533	1014
602	1536	1011
603	1539	1009
604	1542	1006
605	1544	1004
606	1547	1001
607	1549	998
608	1552	996
609	1554	993
610	1556	991
611	1559	988
612	1561	985
613	1564	983
614	1566	980
615	1569	978
616	1572	975
617	1574	973
618	1577	970
619	1580	968
620	1583	966
621	1586	964
622	1589	961
623	1591	959
624	1595	957
625	1597	954
626	1599	951
627	1601	948
628	1603	946
629	1606	943
630	1609	941
631	1612	938
632	1614	936
633	1617	933
634	1619	931
635	1622	928
636	1625	926
637	1627	923
638	1629	920
639	1631	917
640	1634	915
641	1636	912
642	1639	910
643	1641	907
644	1643	904
645	1645	901
646	1647	898
647	1650	896
648	1652	893
649	1654	890
650	1656	888
651	1659	885
652	1661	882
653	1662	879
654	1665	877
655	1667	874
656	1669	871
657	1671	868
658	1673	865
659	1674	862
660	1676	860
661	1679	857
662	1681	854
663	1682	851
664	1684	848
665	1686	845
666	1688	842
667	1690	840
668	1692	837
669	1694	834
670	1696	831
671	1698	828
672	1700	826
673	1702	823
674	1704	820
675	1706	818
676	1708	815
677	1710	812
678	1712	809
679	1713	806
680	1716	803
681	1717	800
682	1720	798
683	1722	795
684	1723	792
685	1725	789
686	1727	786
687	1729	784
688	1731	781
689	1733	778
690	1735	775
691	1736	773
692	1738	770
693	1740	767
694	1742	764
695	1744	761
696	1745	759
697	1748	756
698	1751	754
699	1753	751
700	1755	748
701	1758	746
702	1760	743
703	1763	741
704	1765	738
705	1766	735
706	1769	733
707	1771	730
708	1773	728
709	1776	725
710	1779	723
711	1781	720
712	1784	718
713	1786	715
714	1789	713
715	1792	710
716	1794	708
717	1797	706
718	1801	703
719	1805	702
720	1808	699
721	1810	697
722	1813	694
723	1816	692
724	1818	689
725	1821	687
726	1823	684
727	1826	682
728	1828	679
729	1830	677
730	1833	674
731	1836	672
732	1839	670
733	1841	667
734	1844	664
735	1847	662
736	1849	660
737	1852	657
738	1854	655
739	1857	652
740	1859	650
741	1862	647
742	1865	645
743	1867	642
744	1870	640
745	1873	637
746	1876	635
747	1879	633
748	1881	630
749	1884	628
750	1887	625
751	1889	623
752	1891	620
753	1894	618
754	1896	615
755	1897	612
756	1899	609
757	1902	607
758	1904	604
759	1906	601
760	1907	599
761	1909	596
762	1911	593
763	1913	591
764	1917	588
765	1919	586
766	1921	583
767	1923	581
768	1925	578
769	1927	575
770	1929	573
771	1931	570
772	1933	567
773	1935	565
774	1937	562
775	1939	559
776	1941	557
777	1943	554
778	1945	551
779	1947	549
780	1949	546
781	1951	543
782	1952	541
783	1954	538
784	1956	535
785	1958	533
786	1960	530
787	1962	527
788	1964	525
789	1965	522
790	1967	519
791	1969	517
792	1971	514
793	1974	512
794	1976	509
795	1978	507
796	1980	504
797	1983	502
798	1986	499
799	1988	497
800	1990	494
801	1993	492
802	1995	489
803	1998	487
804	2001	484
805	2003	482
806	2006	479
807	2008	477
808	2011	474
809	2013	472
810	2016	469
811	2018	467
812	2021	464
813	2024	462
814	2026	460
815	2029	457
816	2031	455
817	2033	452
818	2035	449
819	2038	447
820	2042	445
821	2045	442
822	2047	440
823	2049	437
824	2052	435
825	2055	432
826	2057	430
827	2060	427
828	2062	425
829	2065	422
830	2067	420
831	2070	418
832	2072	415
833	2075	413
834	2077	410
835	2080	408
836	2085	406
837	2088	403
838	2090	401
839	2093	398
840	2096	396
841	2099	393
842	2101	391
843	2104	388
844	2107	386
845	2110	384
846	2112	381
847	2114	379
848	2116	376
849	2118	373
850	2120	371
851	2122	368
852	2125	366
853	2127	363
854	2128	361
855	2130	358
856	2132	355
857	2134	353
858	2136	350
859	2139	348
860	2140	345
861	2143	343
862	2145	340
863	2147	337
864	2148	335
865	2150	332
866	2152	330
867	2154	327
868	2156	325
869	2159	322
870	2161	320
871	2162	317
872	2165	314
873	2167	312
874	2169	309
875	2171	307
876	2173	304
877	2175	302
878	2177	299
879	2179	297
880	2181	294
881	2183	292
882	2185	289
883	2187	287
884	2189	284
885	2190	281
886	2193	279
887	2196	276
888	2198	274
889	2200	272
890	2202	269
891	2205	267
892	2208	264
893	2211	262
894	2214	259
895	2217	257
896	2220	255
897	2223	252
898	2226	250
899	2229	247
900	2231	245
901	2234	242
902	2237	240
903	2239	237
904	2242	235
905	2244	232
906	2247	230
907	2249	227
908	2252	225
909	2255	223
910	2257	220
911	2259	218
912	2262	215
913	2264	213
914	2267	210
915	2269	208
916	2272	205
917	2274	203
918	2276	200
919	2278	198
920	2281	195
921	2283	193
922	2285	190
923	2287	188
924	2290	185
925	2293	183
926	2295	180
927	2298	178
928	2300	175
929	2303	173
930	2306	170
931	2308	168
932	2311	165
933	2314	163
934	2316	161
935	2319	158
936	2322	156
937	2324	153
938	2327	151
939	2330	148
940	2332	146
941	2334	143
942	2336	141
943	2338	138
944	2340	136
945	2342	133
946	2344	131
947	2346	128
948	2348	126
949	2350	123
950	2352	121
951	2354	118
952	2356	116
953	2359	113
954	2361	111
955	2363	108
956	2365	106
957	2367	103
958	2369	101
959	2372	98
960	2374	96
961	2376	93
962	2378	91
963	2380	88
964	2382	86
965	2384	83
966	2386	81
967	2388	78
968	2390	76
969	2391	73
970	2393	71
971	2395	69
972	2397	66
973	2399	64
974	2401	61
975	2404	59
976	2406	56
977	2408	54
978	2410	51
979	2412	49
980	2414	46
981	2416	44
982	2418	41
983	2420	39
984	2422	36
985	2424	34
986	2426	31
987	2428	29
988	2430	27
989	2432	24
990	2434	22
991	2437	19
992	2439	17
993	2441	14
994	2443	12
995	2445	9
996	2446	7
997	2448	4
998	2450	2
999	2452	0
